date,time,temperature,humidity,ventilation,light_intensity,ph,disease growth possibility level
6/14/2018,8:30,22.4,82,low,high,6.9,High
6/14/2018,11:40,14.29,61,high,medium,8.6,Low
6/14/2018,14:30,13.47,86,low,medium,8.7,Moderate
6/14/2018,17:40,12.84,60,high,medium,8.1,Low
6/15/2018,8:30,27.84,83,low,high,6.8,High
6/15/2018,11:40,11.71,57,high,low,9,Low
6/15/2018,14:30,31.68,69,low,high,5.2,Moderate
6/15/2018,17:40,28.5,79,low,high,5.5,High
6/16/2018,8:30,24.68,51,high,high,6.4,Moderate
6/16/2018,11:40,7.7,50,high,low,8.5,Low
6/16/2018,14:30,7.81,97,low,low,8.2,Moderate
6/16/2018,17:40,11.46,62,high,low,8.8,Low
6/17/2018,8:30,9.44,57,high,low,8.5,Low
6/17/2018,11:40,16.12,58,high,medium,8.6,Low
6/17/2018,14:30,31.65,95,low,high,5.1,High
6/17/2018,17:40,26.93,51,low,high,6.4,Moderate
6/18/2018,8:30,8.92,52,high,low,8.3,Low
6/18/2018,11:40,25.37,91,low,high,5.6,High
6/18/2018,14:30,34.61,91,high,high,6.2,High
6/18/2018,17:40,24.61,100,medium,high,6.3,High
6/19/2018,8:30,13.89,83,high,medium,8.5,Moderate
6/19/2018,11:40,13.47,67,high,medium,8.8,Low
6/19/2018,14:30,7.4,52,high,low,8.2,Low
6/19/2018,17:40,32.32,54,low,high,6.7,Moderate
6/20/2018,8:30,24.86,59,medium,high,5.5,Moderate
6/20/2018,11:40,14.8,64,high,medium,8.7,Low
6/20/2018,14:30,9.11,60,high,low,8.8,Low
6/20/2018,17:40,28.88,91,medium,high,6.9,High
6/21/2018,8:30,29.82,70,medium,high,6.6,High
6/21/2018,11:40,29.35,50,low,high,6.7,Moderate
6/21/2018,14:30,13.65,87,medium,medium,8.5,Moderate
6/21/2018,17:40,25.07,90,low,high,6.2,High
6/22/2018,8:30,10.55,61,high,low,8.1,Low
6/22/2018,11:40,6.64,59,high,low,8.8,Low
6/22/2018,14:30,11.36,74,medium,low,9,Moderate
6/22/2018,17:40,22.13,98,low,high,6,High
6/23/2018,8:30,16.86,56,high,medium,8.5,Low
6/23/2018,11:40,8.21,99,high,low,8.7,Moderate
6/23/2018,14:30,9.47,96,low,low,8.1,Moderate
6/23/2018,17:40,32.17,57,medium,high,6.3,Moderate
6/24/2018,8:30,14.22,98,medium,medium,8.3,Moderate
6/24/2018,11:40,14.8,72,medium,medium,8.9,Moderate
6/24/2018,14:30,9.69,51,high,low,8.3,Low
6/24/2018,17:40,24.25,87,medium,high,6.4,High
6/25/2018,8:30,13.82,70,high,medium,8.1,Moderate
6/25/2018,11:40,29.74,67,medium,high,5.9,Moderate
6/25/2018,14:30,8.16,56,high,low,9,Low
6/25/2018,17:40,9.26,64,high,low,8.3,Low
6/26/2018,8:30,14.44,57,high,medium,8.9,Low
6/26/2018,11:40,29.1,58,medium,high,5.5,Moderate
6/26/2018,14:30,11.94,57,high,low,8.1,Low
6/26/2018,17:40,13.91,53,high,medium,8.7,Low
6/27/2018,8:30,14.14,65,high,medium,8.5,Low
6/27/2018,11:40,9.58,59,high,low,8.2,Low
6/27/2018,14:30,8.75,68,high,low,8.7,Low
6/27/2018,17:40,8.17,51,high,low,8.6,Low
6/28/2018,8:30,15.56,52,high,medium,8.8,Low
6/28/2018,11:40,12.91,66,high,medium,9,Low
6/28/2018,14:30,16.04,78,low,medium,8.4,Moderate
6/28/2018,17:40,34.28,78,medium,high,6.4,High
6/29/2018,8:30,12.85,69,high,medium,8.3,Low
6/29/2018,11:40,10.82,84,medium,low,8.2,Moderate
6/29/2018,14:30,11.86,78,medium,low,8.3,Moderate
6/29/2018,17:40,9.77,50,high,low,8.2,Low
6/30/2018,8:30,9.27,98,medium,low,8.6,Moderate
6/30/2018,11:40,20.7,62,high,high,5.5,Moderate
6/30/2018,14:30,8.35,50,high,low,8.1,Low
6/30/2018,17:40,13.85,66,high,medium,8.3,Low
7/1/2018,8:30,22.93,95,medium,high,6.9,High
7/1/2018,11:40,12.01,71,high,medium,8.8,Moderate
7/1/2018,14:30,25.21,50,low,high,5.6,Moderate
7/1/2018,17:40,9.29,58,high,low,8.6,Low
7/2/2018,8:30,6.24,93,medium,low,8.9,Moderate
7/2/2018,11:40,9,50,high,low,8.9,Low
7/2/2018,14:30,16.45,89,high,medium,8.7,Moderate
7/2/2018,17:40,10.85,94,medium,low,8.6,Moderate
7/3/2018,8:30,20.83,71,high,high,6.1,High
7/3/2018,11:40,24.18,78,low,high,5,High
7/3/2018,14:30,5.72,87,high,low,8.2,Moderate
7/3/2018,17:40,9.52,77,high,low,9,Moderate
7/4/2018,8:30,5.13,100,high,low,8.6,Moderate
7/4/2018,11:40,16.11,91,high,medium,8.4,Moderate
7/4/2018,14:30,13.83,52,high,medium,8.4,Low
7/4/2018,17:40,27.03,65,low,high,6.6,Moderate
7/5/2018,8:30,8.83,58,high,low,8.7,Low
7/5/2018,11:40,6.03,57,high,low,8.6,Low
7/5/2018,14:30,19.38,85,high,medium,6.1,High
7/5/2018,17:40,16.72,70,high,medium,8.8,Moderate
7/6/2018,8:30,14.62,79,high,medium,8.3,Moderate
7/6/2018,11:40,22.01,59,low,high,6.3,Moderate
7/6/2018,14:30,15.61,98,medium,medium,8.9,Moderate
7/6/2018,17:40,11.61,55,high,low,8.3,Low
7/7/2018,8:30,12.31,62,high,medium,8.4,Low
7/7/2018,11:40,23.41,64,low,high,5.3,Moderate
7/7/2018,14:30,6.14,56,high,low,8.4,Low
7/7/2018,17:40,9.47,62,high,low,8,Low
7/8/2018,8:30,9.94,57,high,low,8.6,Low
7/8/2018,11:40,6.28,56,high,low,8.7,Low
7/8/2018,14:30,8.64,78,low,low,8,Moderate
7/8/2018,17:40,31.84,50,low,high,6.8,Moderate
7/9/2018,8:30,15.01,56,high,medium,8.9,Low
7/9/2018,11:40,29.14,78,low,high,5.5,High
7/9/2018,14:30,15.33,63,high,medium,8.9,Low
7/9/2018,17:40,7.48,63,high,low,8.8,Low
7/10/2018,8:30,11.61,61,high,low,8.7,Low
6/19/2018,11:40,13.47,67,high,medium,8.8,Low
6/19/2018,14:30,7.4,52,high,low,8.2,Low
6/19/2018,17:40,32.32,54,low,high,6.7,Moderate
6/20/2018,8:30,24.86,59,medium,high,5.5,Moderate
6/20/2018,11:40,14.8,64,high,medium,8.7,Low
6/20/2018,14:30,9.11,60,high,low,8.8,Low
6/20/2018,17:40,28.88,91,medium,high,6.9,High
6/21/2018,8:30,29.82,70,medium,high,6.6,High
6/21/2018,11:40,29.35,50,low,high,6.7,Moderate
6/21/2018,14:30,13.65,87,medium,medium,8.5,Moderate
6/21/2018,17:40,25.07,90,low,high,6.2,High
6/22/2018,8:30,10.55,61,high,low,8.1,Low
6/22/2018,11:40,6.64,59,high,low,8.8,Low
6/22/2018,14:30,11.36,74,medium,low,9,Moderate
6/22/2018,17:40,22.13,98,low,high,6,High
6/23/2018,8:30,16.86,56,high,medium,8.5,Low
6/23/2018,11:40,8.21,99,high,low,8.7,Moderate
6/23/2018,14:30,9.47,96,low,low,8.1,Moderate
6/23/2018,17:40,32.17,57,medium,high,6.3,Moderate
6/24/2018,8:30,14.22,98,medium,medium,8.3,Moderate
6/24/2018,11:40,14.8,72,medium,medium,8.9,Moderate
6/24/2018,14:30,9.69,51,high,low,8.3,Low
6/24/2018,17:40,24.25,87,medium,high,6.4,High
6/25/2018,8:30,13.82,70,high,medium,8.1,Moderate
6/25/2018,11:40,29.74,67,medium,high,5.9,Moderate
6/25/2018,14:30,8.16,56,high,low,9,Low
6/25/2018,17:40,9.26,64,high,low,8.3,Low
6/26/2018,8:30,14.44,57,high,medium,8.9,Low
6/26/2018,11:40,29.1,58,medium,high,5.5,Moderate
6/26/2018,14:30,11.94,57,high,low,8.1,Low
6/26/2018,17:40,13.91,53,high,medium,8.7,Low
6/27/2018,8:30,14.14,65,high,medium,8.5,Low
6/27/2018,11:40,9.58,59,high,low,8.2,Low
6/27/2018,14:30,8.75,68,high,low,8.7,Low
6/27/2018,17:40,8.17,51,high,low,8.6,Low
6/28/2018,8:30,15.56,52,high,medium,8.8,Low
6/28/2018,11:40,12.91,66,high,medium,9,Low
6/28/2018,14:30,16.04,78,low,medium,8.4,Moderate
6/28/2018,17:40,34.28,78,medium,high,6.4,High
6/29/2018,8:30,12.85,69,high,medium,8.3,Low
6/29/2018,11:40,10.82,84,medium,low,8.2,Moderate
6/29/2018,14:30,11.86,78,medium,low,8.3,Moderate
6/29/2018,17:40,9.77,50,high,low,8.2,Low
6/30/2018,8:30,9.27,98,medium,low,8.6,Moderate
6/30/2018,11:40,20.7,62,high,high,5.5,Moderate
6/30/2018,14:30,8.35,50,high,low,8.1,Low
6/30/2018,17:40,13.85,66,high,medium,8.3,Low
7/1/2018,8:30,22.93,95,medium,high,6.9,High
7/1/2018,11:40,12.01,71,high,medium,8.8,Moderate
7/1/2018,14:30,25.21,50,low,high,5.6,Moderate
7/1/2018,17:40,9.29,58,high,low,8.6,Low
7/2/2018,8:30,6.24,93,medium,low,8.9,Moderate
7/2/2018,11:40,9,50,high,low,8.9,Low
7/2/2018,14:30,16.45,89,high,medium,8.7,Moderate
7/2/2018,17:40,10.85,94,medium,low,8.6,Moderate
7/3/2018,8:30,20.83,71,high,high,6.1,High
7/3/2018,11:40,24.18,78,low,high,5,High
7/3/2018,14:30,5.72,87,high,low,8.2,Moderate
7/3/2018,17:40,9.52,77,high,low,9,Moderate
7/4/2018,8:30,5.13,100,high,low,8.6,Moderate
7/4/2018,11:40,16.11,91,high,medium,8.4,Moderate
7/4/2018,14:30,13.83,52,high,medium,8.4,Low
7/4/2018,17:40,27.03,65,low,high,6.6,Moderate
7/5/2018,8:30,8.83,58,high,low,8.7,Low
7/5/2018,11:40,6.03,57,high,low,8.6,Low
7/5/2018,14:30,19.38,85,high,medium,6.1,High
7/5/2018,17:40,16.72,70,high,medium,8.8,Moderate
7/6/2018,8:30,14.62,79,high,medium,8.3,Moderate
7/6/2018,11:40,22.01,59,low,high,6.3,Moderate
7/6/2018,14:30,15.61,98,medium,medium,8.9,Moderate
7/6/2018,17:40,11.61,55,high,low,8.3,Low
7/7/2018,8:30,12.31,62,high,medium,8.4,Low
7/7/2018,11:40,23.41,64,low,high,5.3,Moderate
7/7/2018,14:30,6.14,56,high,low,8.4,Low
7/7/2018,17:40,9.47,62,high,low,8,Low
7/8/2018,8:30,9.94,57,high,low,8.6,Low
7/8/2018,11:40,6.28,56,high,low,8.7,Low
7/8/2018,14:30,8.64,78,low,low,8,Moderate
7/8/2018,17:40,31.84,50,low,high,6.8,Moderate
7/9/2018,8:30,15.01,56,high,medium,8.9,Low
7/9/2018,11:40,29.14,78,low,high,5.5,High
7/9/2018,14:30,15.33,63,high,medium,8.9,Low
7/9/2018,17:40,7.48,63,high,low,8.8,Low
7/10/2018,8:30,11.61,61,high,low,8.7,Low
7/10/2018,11:40,19.5,64,low,medium,5.1,Moderate
